File,Cleaned_file
Sound1,1087_MTI_DIS_XX
Sound2,1087_MTI_DIS_XX
Sound3,1087_MTI_DIS_XX
Sound4,1042_IOM_DIS_XX
Sound5,1042_IOM_DIS_XX
Sound6,1042_IOM_DIS_XX
Sound7,1003_IWW_FEA_XX
Sound8,1003_IWW_FEA_XX
Sound9,1003_IWW_FEA_XX
Sound10,1006_DFA_FEA_XX
Sound11,1006_DFA_FEA_XX
Sound12,1006_DFA_FEA_XX
Sound13,1025_TAI_NEU_XX
Sound14,1025_TAI_NEU_XX
Sound15,1025_TAI_NEU_XX
Sound16,1023_IOM_HAP_XX
Sound17,1023_IOM_HAP_XX
Sound18,1023_IOM_HAP_XX
Sound19,1024_ITH_DIS_XX
Sound20,1024_ITH_DIS_XX
Sound21,1024_ITH_DIS_XX
Sound22,1055_DFA_NEU_XX
Sound23,1055_DFA_NEU_XX
Sound24,1055_DFA_NEU_XX
Sound25,1063_WSI_DIS_XX
Sound26,1063_WSI_DIS_XX
Sound27,1063_WSI_DIS_XX
Sound28,1087_ITS_FEA_XX
Sound29,1087_ITS_FEA_XX
Sound30,1087_ITS_FEA_XX
Sound31,1006_TSI_NEU_XX
Sound32,1006_TSI_NEU_XX
Sound33,1006_TSI_NEU_XX
Sound34,1058_TSI_NEU_XX
Sound35,1058_TSI_NEU_XX
Sound36,1058_TSI_NEU_XX
Sound37,1044_IOM_ANG_XX
Sound38,1044_IOM_ANG_XX
Sound39,1044_IOM_ANG_XX
Sound40,1044_IWW_SAD_XX
Sound41,1044_IWW_SAD_XX
Sound42,1044_IWW_SAD_XX
Sound43,1087_WSI_SAD_XX
Sound44,1087_WSI_SAD_XX
Sound45,1087_WSI_SAD_XX
Sound46,1017_ITH_NEU_XX
Sound47,1017_ITH_NEU_XX
Sound48,1017_ITH_NEU_XX
Sound49,1070_IWL_FEA_XX
Sound50,1070_IWL_FEA_XX
Sound51,1070_IWL_FEA_XX
Sound52,1063_IEO_FEA_MD
Sound53,1063_IEO_FEA_MD
Sound54,1063_IEO_FEA_MD
Sound55,1024_IWL_DIS_XX
Sound56,1024_IWL_DIS_XX
Sound57,1024_IWL_DIS_XX
Sound58,1033_IEO_DIS_HI
Sound59,1033_IEO_DIS_HI
Sound60,1033_IEO_DIS_HI
Sound61,1090_MTI_SAD_XX
Sound62,1090_MTI_SAD_XX
Sound63,1090_MTI_SAD_XX
Sound64,1083_WSI_NEU_XX
Sound65,1083_WSI_NEU_XX
Sound66,1083_WSI_NEU_XX
Sound67,1055_IEO_SAD_LO
Sound68,1055_IEO_SAD_LO
Sound69,1055_IEO_SAD_LO
Sound70,1063_ITS_ANG_XX
Sound71,1063_ITS_ANG_XX
Sound72,1063_ITS_ANG_XX
Sound73,1014_ITH_NEU_XX
Sound74,1014_ITH_NEU_XX
Sound75,1014_ITH_NEU_XX
Sound76,1083_DFA_ANG_XX
Sound77,1083_DFA_ANG_XX
Sound78,1083_DFA_ANG_XX
Sound79,1067_IEO_SAD_MD
Sound80,1067_IEO_SAD_MD
Sound81,1067_IEO_SAD_MD
Sound82,1003_ITS_HAP_XX
Sound83,1003_ITS_HAP_XX
Sound84,1003_ITS_HAP_XX
Sound85,1056_ITS_DIS_XX
Sound86,1056_ITS_DIS_XX
Sound87,1056_ITS_DIS_XX
Sound88,1069_IWL_ANG_XX
Sound89,1069_IWL_ANG_XX
Sound90,1069_IWL_ANG_XX
Sound91,1006_MTI_FEA_XX
Sound92,1006_MTI_FEA_XX
Sound93,1006_MTI_FEA_XX
Sound94,1020_WSI_HAP_XX
Sound95,1020_WSI_HAP_XX
Sound96,1020_WSI_HAP_XX
Sound97,1006_TIE_HAP_XX
Sound98,1006_TIE_HAP_XX
Sound99,1006_TIE_HAP_XX
Sound100,1062_TSI_HAP_XX
Sound101,1062_TSI_HAP_XX
Sound102,1062_TSI_HAP_XX
Sound103,1058_TIE_ANG_XX
Sound104,1058_TIE_ANG_XX
Sound105,1058_TIE_ANG_XX
Sound106,1076_TSI_SAD_XX
Sound107,1076_TSI_SAD_XX
Sound108,1076_TSI_SAD_XX
Sound109,1051_IEO_NEU_XX
Sound110,1051_IEO_NEU_XX
Sound111,1051_IEO_NEU_XX
Sound112,1041_MTI_SAD_XX
Sound113,1041_MTI_SAD_XX
Sound114,1041_MTI_SAD_XX
Sound115,1029_TAI_HAP_XX
Sound116,1029_TAI_HAP_XX
Sound117,1029_TAI_HAP_XX
Sound118,1028_TSI_FEA_XX
Sound119,1028_TSI_FEA_XX
Sound120,1028_TSI_FEA_XX
Sound121,1017_ITH_FEA_XX
Sound122,1017_ITH_FEA_XX
Sound123,1017_ITH_FEA_XX
Sound124,1056_WSI_SAD_XX
Sound125,1056_WSI_SAD_XX
Sound126,1056_WSI_SAD_XX
Sound127,1067_IWL_FEA_XX
Sound128,1067_IWL_FEA_XX
Sound129,1067_IWL_FEA_XX
Sound130,1027_IEO_SAD_HI
Sound131,1027_IEO_SAD_HI
Sound132,1027_IEO_SAD_HI
Sound133,1073_TIE_DIS_XX
Sound134,1073_TIE_DIS_XX
Sound135,1073_TIE_DIS_XX
Sound136,1003_TAI_FEA_XX
Sound137,1003_TAI_FEA_XX
Sound138,1003_TAI_FEA_XX
Sound139,1090_MTI_ANG_XX
Sound140,1090_MTI_ANG_XX
Sound141,1090_MTI_ANG_XX
Sound142,1028_IWW_ANG_XX
Sound143,1028_IWW_ANG_XX
Sound144,1028_IWW_ANG_XX
Sound145,1008_MTI_NEU_XX
Sound146,1008_MTI_NEU_XX
Sound147,1008_MTI_NEU_XX
Sound148,1022_IEO_DIS_LO
Sound149,1022_IEO_DIS_LO
Sound150,1022_IEO_DIS_LO
Sound151,1028_ITS_ANG_XX
Sound152,1028_ITS_ANG_XX
Sound153,1028_ITS_ANG_XX
Sound154,1008_MTI_HAP_XX
Sound155,1008_MTI_HAP_XX
Sound156,1008_MTI_HAP_XX
Sound157,1002_WSI_FEA_XX
Sound158,1002_WSI_FEA_XX
Sound159,1002_WSI_FEA_XX
Sound160,1006_MTI_NEU_XX
Sound161,1006_MTI_NEU_XX
Sound162,1006_MTI_NEU_XX
Sound163,1055_IEO_HAP_MD
Sound164,1055_IEO_HAP_MD
Sound165,1055_IEO_HAP_MD
Sound166,1034_IWL_FEA_XX
Sound167,1034_IWL_FEA_XX
Sound168,1034_IWL_FEA_XX
Sound169,1050_TAI_HAP_XX
Sound170,1050_TAI_HAP_XX
Sound171,1050_TAI_HAP_XX
Sound172,1075_DFA_DIS_XX
Sound173,1075_DFA_DIS_XX
Sound174,1075_DFA_DIS_XX
Sound175,1062_IEO_SAD_MD
Sound176,1062_IEO_SAD_MD
Sound177,1062_IEO_SAD_MD
Sound178,1047_TIE_FEA_XX
Sound179,1047_TIE_FEA_XX
Sound180,1047_TIE_FEA_XX
Sound181,1084_MTI_SAD_XX
Sound182,1084_MTI_SAD_XX
Sound183,1084_MTI_SAD_XX
Sound184,1022_DFA_SAD_XX
Sound185,1022_DFA_SAD_XX
Sound186,1022_DFA_SAD_XX
Sound187,1021_TSI_NEU_XX
Sound188,1021_TSI_NEU_XX
Sound189,1021_TSI_NEU_XX
Sound190,1067_IWW_HAP_XX
Sound191,1067_IWW_HAP_XX
Sound192,1067_IWW_HAP_XX
Sound193,1020_WSI_SAD_XX
Sound194,1020_WSI_SAD_XX
Sound195,1020_WSI_SAD_XX
Sound196,1051_TIE_SAD_XX
Sound197,1051_TIE_SAD_XX
Sound198,1051_TIE_SAD_XX
Sound199,1033_IWW_FEA_XX
Sound200,1033_IWW_FEA_XX
Sound201,1033_IWW_FEA_XX
Sound202,1006_TSI_ANG_XX
Sound203,1006_TSI_ANG_XX
Sound204,1006_TSI_ANG_XX
Sound205,1034_TSI_NEU_XX
Sound206,1034_TSI_NEU_XX
Sound207,1034_TSI_NEU_XX
Sound208,1041_IOM_DIS_XX
Sound209,1041_IOM_DIS_XX
Sound210,1041_IOM_DIS_XX
Sound211,1027_DFA_DIS_XX
Sound212,1027_DFA_DIS_XX
Sound213,1027_DFA_DIS_XX
Sound214,1025_WSI_ANG_XX
Sound215,1025_WSI_ANG_XX
Sound216,1025_WSI_ANG_XX
Sound217,1029_TIE_NEU_XX
Sound218,1029_TIE_NEU_XX
Sound219,1029_TIE_NEU_XX
Sound220,1025_TSI_SAD_XX
Sound221,1025_TSI_SAD_XX
Sound222,1025_TSI_SAD_XX
Sound223,1041_IOM_HAP_XX
Sound224,1041_IOM_HAP_XX
Sound225,1041_IOM_HAP_XX
Sound226,1020_WSI_FEA_XX
Sound227,1020_WSI_FEA_XX
Sound228,1020_WSI_FEA_XX
Sound229,1001_IOM_FEA_XX
Sound230,1001_IOM_FEA_XX
Sound231,1001_IOM_FEA_XX
Sound232,1048_IWL_DIS_XX
Sound233,1048_IWL_DIS_XX
Sound234,1048_IWL_DIS_XX
Sound235,1004_TIE_SAD_XX
Sound236,1004_TIE_SAD_XX
Sound237,1004_TIE_SAD_XX
Sound238,1044_IEO_HAP_MD
Sound239,1044_IEO_HAP_MD
Sound240,1044_IEO_HAP_MD
Sound241,1015_ITH_ANG_XX
Sound242,1015_ITH_ANG_XX
Sound243,1015_ITH_ANG_XX
Sound244,1050_TAI_ANG_XX
Sound245,1050_TAI_ANG_XX
Sound246,1050_TAI_ANG_XX
Sound247,1035_MTI_HAP_XX
Sound248,1035_MTI_HAP_XX
Sound249,1035_MTI_HAP_XX
Sound250,1055_IEO_DIS_HI
Sound251,1055_IEO_DIS_HI
Sound252,1055_IEO_DIS_HI
